id,run_id,round,stage,model,prompt_version,prompt,completion,input_tokens,output_tokens,total_tokens,latency_ms,retries,status,error,request_id,requests_remaining,requests_limit,requests_reset_time,tokens_remaining,tokens_limit,tokens_reset_time
1,exp3_AgenticAI_s2_175854,1,agentic_analyst,openai/gpt-oss-120b,v3_agentic_analyst,[agentic_analyst_prompt],[completion],,,,2805.5901527404785,3,success,,,,,,,,
2,exp3_AgenticAI_s2_175854,1,agentic_proposer,openai/gpt-oss-120b,v3_agentic_proposer,[agentic_proposer_prompt],[completion],,,,1385.0946426391602,3,success,,,,,,,,
3,exp3_AgenticAI_s2_175854,1,agentic_critic,openai/gpt-oss-120b,v3_agentic_critic,[agentic_critic_prompt],[completion],,,,16880.377531051636,3,success,,,,,,,,
4,exp3_AgenticAI_s2_175854,2,agentic_analyst,openai/gpt-oss-120b,v3_agentic_analyst,[agentic_analyst_prompt],[completion],1490.0,491.0,1981.0,16622.34902381897,0,success,,chatcmpl-25318be7-a5fd-401e-8ca4-e8355d1915f6,988.0,1000.0,17m16.8s,101.0,8000.0,59.242s
5,exp3_AgenticAI_s2_175854,2,agentic_proposer,openai/gpt-oss-120b,v3_agentic_proposer,[agentic_proposer_prompt],[completion],1490.0,491.0,1981.0,1027.6806354522705,0,success,,chatcmpl-25318be7-a5fd-401e-8ca4-e8355d1915f6,988.0,1000.0,17m16.8s,101.0,8000.0,59.242s
6,exp3_AgenticAI_s2_175854,2,agentic_critic,openai/gpt-oss-120b,v3_agentic_critic,[agentic_critic_prompt],[completion],1490.0,491.0,1981.0,2605.1957607269287,0,success,,chatcmpl-25318be7-a5fd-401e-8ca4-e8355d1915f6,988.0,1000.0,17m16.8s,101.0,8000.0,59.242s
7,exp3_AgenticAI_s2_175854,3,agentic_analyst,openai/gpt-oss-120b,v3_agentic_analyst,[agentic_analyst_prompt],[completion],,,,17125.73194503784,3,success,,,,,,,,
8,exp3_AgenticAI_s2_175854,3,agentic_proposer,openai/gpt-oss-120b,v3_agentic_proposer,[agentic_proposer_prompt],[completion],,,,10726.093530654907,3,success,,,,,,,,
9,exp3_AgenticAI_s2_175854,3,agentic_critic,openai/gpt-oss-120b,v3_agentic_critic,[agentic_critic_prompt],[completion],,,,10720.768690109253,3,success,,,,,,,,
10,exp3_AgenticAI_s2_175854,4,agentic_analyst,openai/gpt-oss-120b,v3_agentic_analyst,[agentic_analyst_prompt],[completion],,,,10763.258457183838,3,success,,,,,,,,
11,exp3_AgenticAI_s2_175854,4,agentic_proposer,openai/gpt-oss-120b,v3_agentic_proposer,[agentic_proposer_prompt],[completion],,,,10749.724626541138,3,success,,,,,,,,
12,exp3_AgenticAI_s2_175854,4,agentic_critic,openai/gpt-oss-120b,v3_agentic_critic,[agentic_critic_prompt],[completion],,,,10725.313663482666,3,success,,,,,,,,
13,exp3_AgenticAI_s2_175854,5,agentic_analyst,openai/gpt-oss-120b,v3_agentic_analyst,[agentic_analyst_prompt],[completion],,,,10739.943027496338,3,success,,,,,,,,
14,exp3_AgenticAI_s2_175854,5,agentic_proposer,openai/gpt-oss-120b,v3_agentic_proposer,[agentic_proposer_prompt],[completion],,,,23863.83032798767,3,success,,,,,,,,
15,exp3_AgenticAI_s2_175854,5,agentic_critic,openai/gpt-oss-120b,v3_agentic_critic,[agentic_critic_prompt],[completion],,,,10743.482112884521,3,success,,,,,,,,
16,exp3_AgenticAI_s2_175854,6,agentic_analyst,openai/gpt-oss-120b,v3_agentic_analyst,[agentic_analyst_prompt],[completion],,,,10774.003744125366,3,success,,,,,,,,
17,exp3_AgenticAI_s2_175854,6,agentic_proposer,openai/gpt-oss-120b,v3_agentic_proposer,[agentic_proposer_prompt],[completion],,,,46755.45787811279,3,success,,,,,,,,
18,exp3_AgenticAI_s2_175854,6,agentic_critic,openai/gpt-oss-120b,v3_agentic_critic,[agentic_critic_prompt],[completion],,,,10713.941812515259,3,success,,,,,,,,
19,exp3_AgenticAI_s2_175854,7,agentic_analyst,openai/gpt-oss-120b,v3_agentic_analyst,[agentic_analyst_prompt],[completion],,,,10777.955770492554,3,success,,,,,,,,
20,exp3_AgenticAI_s2_175854,7,agentic_proposer,openai/gpt-oss-120b,v3_agentic_proposer,[agentic_proposer_prompt],[completion],,,,10723.118305206299,3,success,,,,,,,,
21,exp3_AgenticAI_s2_175854,7,agentic_critic,openai/gpt-oss-120b,v3_agentic_critic,[agentic_critic_prompt],[completion],,,,10763.499021530151,3,success,,,,,,,,
22,exp3_AgenticAI_s2_175854,8,agentic_analyst,openai/gpt-oss-120b,v3_agentic_analyst,[agentic_analyst_prompt],[completion],,,,10802.083253860474,3,success,,,,,,,,
23,exp3_AgenticAI_s2_175854,8,agentic_proposer,openai/gpt-oss-120b,v3_agentic_proposer,[agentic_proposer_prompt],[completion],,,,10739.077806472778,3,success,,,,,,,,
24,exp3_AgenticAI_s2_175854,8,agentic_critic,openai/gpt-oss-120b,v3_agentic_critic,[agentic_critic_prompt],[completion],,,,10753.851413726807,3,success,,,,,,,,
25,exp3_AgenticAI_s2_175854,9,agentic_analyst,openai/gpt-oss-120b,v3_agentic_analyst,[agentic_analyst_prompt],[completion],,,,10783.446788787842,3,success,,,,,,,,
26,exp3_AgenticAI_s2_175854,9,agentic_proposer,openai/gpt-oss-120b,v3_agentic_proposer,[agentic_proposer_prompt],[completion],,,,10753.955841064453,3,success,,,,,,,,
27,exp3_AgenticAI_s2_175854,9,agentic_critic,openai/gpt-oss-120b,v3_agentic_critic,[agentic_critic_prompt],[completion],,,,10703.262329101562,3,success,,,,,,,,
28,exp3_AgenticAI_s2_175854,10,agentic_analyst,openai/gpt-oss-120b,v3_agentic_analyst,[agentic_analyst_prompt],[completion],,,,10759.960174560547,3,success,,,,,,,,
29,exp3_AgenticAI_s2_175854,10,agentic_proposer,openai/gpt-oss-120b,v3_agentic_proposer,[agentic_proposer_prompt],[completion],,,,10765.090465545654,3,success,,,,,,,,
30,exp3_AgenticAI_s2_175854,10,agentic_critic,openai/gpt-oss-120b,v3_agentic_critic,[agentic_critic_prompt],[completion],,,,10760.42628288269,3,success,,,,,,,,
31,exp3_AgenticAI_s2_175854,11,agentic_analyst,openai/gpt-oss-120b,v3_agentic_analyst,[agentic_analyst_prompt],[completion],,,,10750.911235809326,3,success,,,,,,,,
32,exp3_AgenticAI_s2_175854,11,agentic_proposer,openai/gpt-oss-120b,v3_agentic_proposer,[agentic_proposer_prompt],[completion],,,,10772.165536880493,3,success,,,,,,,,
33,exp3_AgenticAI_s2_175854,11,agentic_critic,openai/gpt-oss-120b,v3_agentic_critic,[agentic_critic_prompt],[completion],,,,10713.54866027832,3,success,,,,,,,,
34,exp3_AgenticAI_s2_175854,12,agentic_analyst,openai/gpt-oss-120b,v3_agentic_analyst,[agentic_analyst_prompt],[completion],,,,10914.041519165039,3,success,,,,,,,,
35,exp3_AgenticAI_s2_175854,12,agentic_proposer,openai/gpt-oss-120b,v3_agentic_proposer,[agentic_proposer_prompt],[completion],,,,10768.210649490356,3,success,,,,,,,,
36,exp3_AgenticAI_s2_175854,12,agentic_critic,openai/gpt-oss-120b,v3_agentic_critic,[agentic_critic_prompt],[completion],,,,10724.624872207642,3,success,,,,,,,,
37,exp3_AgenticAI_s2_175854,13,agentic_analyst,openai/gpt-oss-120b,v3_agentic_analyst,[agentic_analyst_prompt],[completion],,,,10817.166328430176,3,success,,,,,,,,
38,exp3_AgenticAI_s2_175854,13,agentic_proposer,openai/gpt-oss-120b,v3_agentic_proposer,[agentic_proposer_prompt],[completion],,,,1305.2690029144287,3,success,,,,,,,,
39,exp3_AgenticAI_s2_175854,13,agentic_critic,openai/gpt-oss-120b,v3_agentic_critic,[agentic_critic_prompt],[completion],,,,10745.256662368774,3,success,,,,,,,,
40,exp3_AgenticAI_s2_175854,14,agentic_analyst,openai/gpt-oss-120b,v3_agentic_analyst,[agentic_analyst_prompt],[completion],,,,10789.641618728638,3,success,,,,,,,,
41,exp3_AgenticAI_s2_175854,14,agentic_proposer,openai/gpt-oss-120b,v3_agentic_proposer,[agentic_proposer_prompt],[completion],,,,10739.565134048462,3,success,,,,,,,,
42,exp3_AgenticAI_s2_175854,14,agentic_critic,openai/gpt-oss-120b,v3_agentic_critic,[agentic_critic_prompt],[completion],,,,10721.568822860718,3,success,,,,,,,,
43,exp3_AgenticAI_s2_475675,14,agentic_analyst,openai/gpt-oss-120b,v3_agentic_analyst,[agentic_analyst_prompt],[completion],,,,11470.484018325806,3,success,,,,,,,,
44,exp3_AgenticAI_s2_475675,14,agentic_proposer,openai/gpt-oss-120b,v3_agentic_proposer,[agentic_proposer_prompt],[completion],,,,10765.92993736267,3,success,,,,,,,,
45,exp3_AgenticAI_s2_475675,14,agentic_critic,openai/gpt-oss-120b,v3_agentic_critic,[agentic_critic_prompt],[completion],,,,10756.257772445679,3,success,,,,,,,,
46,exp3_AgenticAI_s2_175854,15,agentic_analyst,openai/gpt-oss-120b,v3_agentic_analyst,[agentic_analyst_prompt],[completion],,,,10763.835668563843,3,success,,,,,,,,
